Market Participant Name,Region,Market Trading Node,Facility Name,Type,Classification,"Max. Stable Load 
(Pmax, MW)","Min. Stable Load
(Pmin, MW)","Max. Ramp Rate (RR, MW/Min)"
1590 Energy Corporation,Luzon,01BAUANG_GS1,Bauang Diesel Power Plant GS1,Oil-Based,Scheduled,70.0,0.0,7.0
1590 Energy Corporation,Luzon,01BAUANG_GS2,Bauang Diesel Power Plant GS2,Oil-Based,Scheduled,70.0,0.0,7.0
1590 Energy Corporation,Luzon,01BAUANG_GS3,Bauang Diesel Power Plant GS3,Oil-Based,Scheduled,70.0,0.0,7.0
Absolut Distillers Inc.,Luzon,03ADISOL_G01,Lian Solar Power Plant,Solar,Must dispatch,1.6,0.2,1.6
Alternergy Wind One Corporation,Luzon,03AWOC_G01,54.000 MW Pililla Wind Farm Project (WFP),Wind,Must dispatch,53.6,0.0,54.0
Anda Power Corporation,Luzon,01ANDA_G01,ANDA Coal-Fired Power Plant,Coal,Scheduled,72.0,24.6,0.5
Angat Hydropower Corporation,Luzon,01ANGAT_A,Angat Hydroelectric Power Plant Unit A,Hydro,Scheduled,19.6,0.5,27.2
Angat Hydropower Corporation,Luzon,01ANGAT_M,Angat Hydrolectric Power Plant Unit M,Hydro,Scheduled,200.0,5.0,382.3
AP Renewables Inc. ,Luzon,03MKBN_A,Makban -Bay Geothermal Power Plant A,Geothermal,Scheduled,114.0,7.7,4.1
AP Renewables Inc. ,Luzon,03MKBN_B,Makban-Calauan Geothermal Power Plant (Plant B),Geothermal,Scheduled,116.0,7.8,4.2
AP Renewables Inc. ,Luzon,03MKBN_C,Makban-Calauan Geothermal Power Plant (Plant C),Geothermal,Scheduled,30.0,14.1,2.1
AP Renewables Inc. ,Luzon,03MKBN_D,Makban -Bay Geothermal Power Plant  D,Geothermal,Scheduled,40.0,2.5,2.1
AP Renewables Inc. ,Luzon,03MKBN_E,Makban-Sto. Tomas GPP Plant E,Geothermal,Scheduled,40.0,2.5,2.1
AP Renewables Inc. ,Luzon,03ORMAT_G01,7.000 MW Makban-Binary 1 Geothermal Power Plant,Geothermal,Scheduled,6.0,1.5,2.0
AP Renewables Inc. ,Luzon,03TIWI_A,120.000 MW Tiwi A Geothermal Power Plant,Geothermal,Scheduled,120.0,14.3,4.0
AP Renewables Inc. ,Luzon,03TIWI_C,114.000 MW Tiwi C Geothermal Power Plant,Geothermal,Scheduled,113.8,7.1,3.8
Asia Pacific Energy Corporation,Luzon,01APEC_G01,52.00 MW Circulating Fluidized Bed (CFB) Coal-Fired Power Plant ,Coal,Scheduled,25.0,1.0,0.5
Asian Carbon Neutral Power Corp.,Luzon,01ACNPC_G01,ACNPC Tarlac Biomass Plant,Biomass,Non-scheduled,3.2,0.5,0.4
Bac-Man Geothermal Inc.,Luzon,03BACMAN_U01,Bacman Geothermal Power Plant Unit 1,Geothermal,Priority Dispatch,60.0,30.0,4.4
Bac-Man Geothermal Inc.,Luzon,03BACMAN_U02,Bacman Geothermal Power Plant Unit 2,Geothermal,Priority Dispatch,60.0,30.0,4.4
Bac-Man Geothermal Inc.,Luzon,03BACMAN_U03,Bacman Geothermal Power Plant Unit 3,Geothermal,Priority Dispatch,20.0,10.0,2.0
"Bataan 2020, Inc.",Luzon,01BT2020_G02,Bataan 2020 Coal Fired Power Plant,Coal,Scheduled,25.0,5.0,3.0
"Bataan 2020 Power Ventures, Inc.",Luzon,01BT2020_G01,Bataan 2020 RE Biomass Cogeneration Power Plant,Biomass,Priority Dispatch,13.0,1.3,6.0
Bataan Solar Energy Inc.,Luzon,01BTSOLEN_G01,4.377 MWp Bataan Solar Energy Project,Solar,Must dispatch,3.7,0.0,NA
Bataan Solar Energy Inc.,Luzon,01BTSOLEN_BAT,0.531 MW/1.400 MWh Energy Storage System (ESS),Battery,Battery Energy Storage System,0.5,0.0,NA
Bayog Wind Power Corp.,Luzon,01BALWIND_G01,80.000 MW Balaoi and Caunayan Wind Power Project Phase 1 ,Wind,Must dispatch,80.0,4.0,NA
BEHMC Lower Labayat Hydropower Corp.,Luzon,03LWERLAB_G01,1.400 MW Lower Labayat Hydroelectric Power Plant,Run-of River Hydro,Must dispatch,1.5,0.7,0.1
Belgrove Power Corporation,Luzon,03MALAYA_G02,Malaya Thermal Power Plant Unit 2 ,Oil-Based,Scheduled,130.0,130.0,1.5
Bicol Biomass Energy Corporation,Luzon,03BBEC_G01,5.000 MW Biomass Power Plant,Biomass,Priority Dispatch,5.0,1.5,0.2
Bicol Hydropower Corporation,Luzon,03INARI_G01,1.600 MW Inarihan Hydroelectric Power Plant,Run-of River Hydro,Must dispatch,1.7,0.1,0.1
"Bosung Solartec, Inc.",Luzon,01BOSUNG_G01,Bosung Solar Power Plant,Solar,Must dispatch,1.0,0.0,1.0
"Citicore Solar Bulacan, Inc. ",Luzon,01BULSOL_G01,San Ildefonso Solar Power Plant ,Solar,Must dispatch,15.0,0.0,1.0
Cagayan Biomass Energy Corporation,Luzon,01CAGBIO_G01,15.00 MW Biomass Power Plant,Biomass,Priority Dispatch,13.5,2.2,0.8
"Central Azucarera Don Pedro, Inc.",Luzon,03CADPI_G01,CADPI Biomass Power Plant,Biomass,Non-scheduled ,25.0,2.0,1.0
CIP II Power Corporation,Luzon,01CIP2_G01,21.2656 MW Bunker C-Fired Diesel Power Plant,Oil-Based,Scheduled,20.0,2.2,1.3
Citicore Renewable Energy Corporation,Luzon,01CLASOL_G01,22.325 MWp Clark Solar Power Plant,Solar,Must dispatch,19.1,0.0,NA
Cleangreen Energy Corporation,Luzon,01CLEANG_G01,CEC Biomass Power Plant,Biomass,Non-scheduled,10.8,1.4,0.4
Ecopark Energy of Valenzuela Corp.,Luzon,02ECOPRK_G01,Ecopark Energy Isla Power Plant,Solar,Must dispatch,4.0,0.0,NA
Ecopark Energy of Valenzuela Corp.,Luzon,02ECOTAGA_G01,16.002 MWp (Phases 2 and 3) Tagalag Solar Power Plant,Solar,Must dispatch,14.7,0.0,NA
"Energy Development Corporation
(additional facility)",Luzon,01BURGOS_G02,4.160 MWp Burgos Solar Power Plant (BSPP) Phase 1,Solar,Must dispatch,3.4,0.0,NA
"Energy Development Corporation
(additional facility)",Luzon,01BURGOS_G03,2.660 MWp Burgos Solar Power Plant (BSPP) Phase 2,Solar,Must dispatch,2.2,0.0,NA
"Energy Logics Philippines, Inc.",Luzon,01PASQSOL_G01,100.10 MW Pasuquin Solar Power Plant ,Solar,Must dispatch,92.4,0.0,NA
EDC Burgos Wind Power Corporation,Luzon,01BURGOS_G01,EDC Burgos Wind Power Plant,Wind,Must dispatch,150.0,0.0,15.0
First Gen Hydro Power Corporation,Luzon,01MASIWA_G01,12.000 MW Masiway Hydroelectric Power Plant,Hydro,Scheduled,12.0,1.0,16.6
First Gen Hydro Power Corporation,Luzon,01PNTBNG_U01,Pantabangan Hydro Electric Power Plant Unit 1,Hydro,Scheduled,60.0,15.0,86.3
First Gen Hydro Power Corporation,Luzon,01PNTBNG_U02,Pantabangan Hydro Electric Power Plant Unit 2,Hydro,Scheduled,60.0,15.0,79.5
First Natgas Power Corporation,Luzon,03SNGAB_G01,San Gabriel  Power Plant,Natural Gas,Scheduled,420.0,210.0,13.0
FGP Corp.,Luzon,03STA-RI_G05,San Lorenzo Combined-Cycle Gas Turbine Power Plant Unit 50,Natural Gas,Scheduled,265.0,160.0,11.4
FGP Corp.,Luzon,03STA-RI_G06,San Lorenzo Combined-Cycle Gas Turbine Power Plant Unit 60 (San Lorenzo CCGTPP),Natural Gas,Scheduled,265.0,160.0,11.3
First Cabanatuan Renewable Ventures Inc.,Luzon,01CABSOL_G01,FCRV Solar Power Plant,Solar,Must dispatch,9.1,0.0,1.0
First Gas Power Corporation (Sta Rita),Luzon,03STA-RI_G01,Sta. Rita Natural Gas Power Plant 1,Natural Gas,Scheduled,257.3,160.0,12.0
First Gas Power Corporation (Sta Rita),Luzon,03STA-RI_G02,Sta. Rita Natural Gas Power Plant 2,Natural Gas,Scheduled,255.7,160.0,12.0
First Gas Power Corporation (Sta Rita),Luzon,03STA-RI_G03,Sta. Rita Natural Gas Power Plant 3,Natural Gas,Scheduled,265.5,160.0,12.0
First Gas Power Corporation (Sta Rita),Luzon,03STA-RI_G04,Sta. Rita Natural Gas Power Plant 4,Natural Gas,Scheduled,264.0,160.0,12.0
"GIGA ACE 4, Inc.",Luzon,03ALMNOS_BAT1,Subplant 1 Alaminos Battery Energy Storage System,Battery,Battery Energy Storage System,20.0,0.0,72000.0
"GIGA ACE 4, Inc.",Luzon,03ALMNOS_BAT2,Subplant 2 Alaminos Battery Energy Storage System,Battery,Battery Energy Storage System,20.0,0.0,72000.0
"GIGASOL3, Inc.",Luzon,01GIGSOL_G01,63.005 MWp Palauig Solar Power Plant,Solar,Must dispatch,50.5,0.0,NA
GNPower Dinginin Ltd. Co. ,Luzon,01GNPD_U01,724.965 MW GNPower Dinginin Coal Plant - Unit 1 ,Coal,Scheduled,668.0,323.0,14.2
GNPower Dinginin Ltd. Co. ,Luzon,01GNPD_U02,GNPower Dinginin Coal Plant - Unit 2 ,Coal,Scheduled,668.0,338.4,16.1
GNPower Mariveles Energy Center Ltd. Co.,Luzon,01MARVEL_G01,Mariveles Coal Fired Thermal Power Plant Unit 1,Coal,Scheduled,316.0,150.7,3.6
GNPower Mariveles Energy Center Ltd. Co.,Luzon,01MARVEL_G02,Mariveles Coal Fired Thermal Power Plant Unit 2,Coal,Scheduled,316.0,149.6,4.3
Grassgold Renewable Energy Corporation,Luzon,01GRGOLD_G01,12 MW Biomass Power Plant,Biomass,Priority Dispatch,10.8,1.4,0.6
"Greencore Power Solutions 3, Inc. ",Luzon,01ARAYSOL_G01,71.992 MWp Arayat Solar Power Project,Solar,Must dispatch,50.0,0.0,NA
"Greencore Power Solutions 3, Inc. ",Luzon,01ARAYSOL_G02,43.679 MWp Arayat-Mexico Solar Power Plant Project Phase 2,Solar,Must dispatch,30.8,0.0,NA
"Green Future Innovations, Inc.",Luzon,01GFII_G01,Isabela Bioethanol and Cogeneration Plant,Biomass,Priority Dispatch,15.8,1.0,3.0
Green Innovations for Tomorrow Corporation,Luzon,01GIFT_G01,12.000 MW Biomass Power Plant,Biomass,Priority Dispatch,12.0,7.9,2.5
Green Innovations for Tomorrow Corporation,Luzon,01GIFT_G02,6.2 MW Biomass Power Plant Phase 2,Biomass,Priority Dispatch,6.0,3.8,0.2
"HEDCOR, Inc.",Luzon,01SLANGN_G01,Sal-angan Hydro Electric Power Plant,Run-of River Hydro,Must dispatch,2.4,0.1,3.6
"HEDCOR, Inc.",Luzon,01NMHC_G03,Irisan 3 Hydro Electric Power Plant,Run-of River Hydro,Must dispatch,1.2,0.0,0.1
"HEDCOR, Inc.",Luzon,01NMHC_G01,Irisan 1 Hydro Electric Power Plant,Run-of River Hydro,Must dispatch,3.9,3.9,0.8
"HEDCOR, Inc.",Luzon,01AMPHAW_G01,Hedcor (Ampohaw) Hydro Electric Power Plant,Run-of River Hydro,Must dispatch,12.5,0.1,4.1
"HEDCOR, Inc.",Luzon,01BAKSIP_G01,Hedcor (Bakun) Hydro Electric Power Plant,Run-of River Hydro,Must dispatch,12.4,0.1,11.4
"HEDCOR, Inc.",Luzon,01BINENG_G01,20.400 MW La Trinidad Hydroelectric Power Plant,Run-of River Hydro,Must dispatch,19.8,0.7,4.1
"Hedcor Sabangan, Inc.",Luzon,01SABANG_G01,14.139 MW Sabangan Hydroelectric Power Plant,Run-of River Hydro,Must dispatch,14.2,0.7,2.3
Hydrocore Corp.,Luzon,01IBULAO_G01,4.500 MW Ibulao Hydroelectric Power Project,Run-of River Hydro,Must dispatch,6.0,3.0,0.5
HyperGreen Energy Corporation,Luzon,01HYPGRN_G01,12.000 MW Biomass Power Plant,Biomass,Scheduled,10.0,5.0,0.5
"Ingrid Power Holdings, Inc. ",Luzon,03INGRID_GS1,Pililla Diesel Power Plant Sector 1,Oil-Based,Scheduled,28.0,0.1,209.0
"Ingrid Power Holdings, Inc. ",Luzon,03INGRID_GS2,Pililla Diesel Power Plant Sector 2,Oil-Based,Scheduled,22.0,0.1,170.6
"Ingrid Power Holdings, Inc. ",Luzon,03INGRID_GS3,Pililla Diesel Power Plant Sector 3,Oil-Based,Scheduled,22.0,0.1,132.9
"Ingrid Power Holdings, Inc. ",Luzon,03INGRID_GS4,Pililla Diesel Power Plant Sector 4,Oil-Based,Scheduled,28.0,0.1,184.7
"Ingrid Power Holdings, Inc. ",Luzon,03INGRID_GS5,Pililla Diesel Power Plant Sector 5,Oil-Based,Scheduled,22.0,0.1,198.1
"Ingrid Power Holdings, Inc. ",Luzon,03INGRID_GS6,Pililla Diesel Power Plant Sector 6,Oil-Based,Scheduled,28.0,0.1,211.7
Isabela Biomass Energy Corporation,Luzon,01IBEC_G01,20.000 MW Biomass Power Plant (BPP),Biomass,Priority Dispatch,18.0,3.1,2.9
Isabela La Suerte Rice Mill Corporation,Luzon,01LASUER_U01,Isabela La Suerte Biomass Power Plant,Biomass,Non-scheduled,5.1,1.0,0.5
Jobin-SQM Inc.,Luzon,01SUBSOL_G01,100.533 MWp Sta. Rita Solar Power Plant (SPP),Solar,Must dispatch,85.5,0.0,NA
Labayat 1 Hydropower Corporation  ,Luzon,03UPLAB_G01,3.456 MW Upper Labayat Hydroelectric Power Plant  ,Run-of River Hydro,Must dispatch,3.3,0.3,NA
"Maibarara Geothermal, Inc.",Luzon,03MGPP_G01,Maibarara Geothermal Power Plant 1,Geothermal,Priority Dispatch,20.0,6.5,1.3
"Maibarara Geothermal, Inc.",Luzon,03MGI_G02,Maibarara Geothermal Power Plant 2,Geothermal,Priority Dispatch,12.0,3.0,0.8
"Majayjay Hydropower Company, Inc.",Luzon,03MAJAY_G01,Majayjay Hydro Power Plant,Run-of River Hydro,Must dispatch,2.2,0.4,0.5
Majestics Energy Corporation,Luzon,03MEC_G01,Majestics Energy Solar PV Plant,Solar,Must dispatch,32.9,0.2,NA
Mariveles Power Generation Corporation,Luzon,01MPGC_U01,Mariveles Coal-fired Thermal Power Plant- Phase 1,Coal,Scheduled,150.0,60.0,2.0
Mariveles Power Generation Corporation,Luzon,01MPGC_U02,Mariveles Coal-fired Thermal Power Plant Unit 2,Coal,Scheduled,150.0,60.0,2.0
Masinloc Power Partners Co. Ltd.,Luzon,01MSINLO_G01,Masinloc Coal-Fired Thermal Power Plant Unit 1,Coal,Scheduled,344.0,99.4,3.8
Masinloc Power Partners Co. Ltd.,Luzon,01MSINLO_G02,Masinloc Coal-Fired Thermal Power Plant Unit 2,Coal,Scheduled,344.0,102.0,3.4
Masinloc Power Partners Co. Ltd.,Luzon,01MSINLO_G03,Masinloc Coal-Fired Thermal Power Plant Unit 3,Coal,Scheduled,335.0,85.0,6.0
Masinloc Power Partners Co. Ltd.,Luzon,01MSINLO_BAT,Masinloc Battery Energy Storage System,Battery,Battery Energy Storage System,10.0,0.0,306.0
Matuno River Development Corporation,Luzon,01MATUNO_G01,Matuno River Hydroelectric Power Plant,Run-of River Hydro,Must dispatch,8.7,0.6,0.8
Mindoro Grid Corporation,Luzon,01BUTAO_G01,"1.350 MW Butao Irrigation Drop Hydroelectric Power Project
",Run-of River Hydro,Must dispatch,1.3,0.3,0.5
Mirae Asia Energy Corporation,Luzon,01MAEC_G01,20.088 MWp Currimao Solar Power Plant ,Solar,Must dispatch,16.0,0.0,NA
Montalban Methane Power Corp.,Luzon,02MMPP_G01,MMPC Biomass Power Plant,Biomass,Priority Dispatch,5.1,0.7,0.1
"Citicore Solar Tarlac 1, Inc.",Luzon,01ARMSOL_G01,Armenia Solar Power Plant,Solar,Must dispatch,7.1,0.0,1.0
"Citicore Solar Tarlac 2, Inc.",Luzon,01DALSOL_G01,Dalayap Solar Power Plant,Solar,Must dispatch,5.9,0.0,1.0
National Irrigation Administration ,Luzon,01NIABAL_G01,NIA Baligatan Hydro Electric Power Plant,Hydro,Non-scheduled ,6.0,1.0,0.5
"Citicore Solar Bataan, Inc.",Luzon,01MARSOL_G01,Mariveles Solar Power Plant,Solar,Must dispatch,16.0,0.2,1.0
Natures Renewable Energy Devt. (NAREDCO) Corporation,Luzon,01CAGYSOL_G01,133.464 MWp Cagayan North Solar Power Plant,Solar,Must dispatch,115.0,13.8,NA
North Luzon Renewable Energy Corporation,Luzon,01CAPRIS_G01,Caparispisan Wind Power Plant,Wind,Must dispatch,81.0,0.0,NA
Northwind Power Development Corporation,Luzon,01NWIND_G01,33.0MW Phases I and II Bangui Bay Wind Power Plant,Wind,Must dispatch,32.4,0.0,NA
Northwind Power Development Corporation,Luzon,01NWIND_G02,18.8 MW  Phase III Bangui Bay Wind Power Plant,Wind,Must dispatch,18.8,0.0,NA
Nuevo Solar Energy Corp.,Luzon,01CURSOL_G02,83.316 MWp Currimao 2 Solar Power Plant,Solar,Must dispatch,68.7,0.0,NA
One Subic Power Generation Corporation,Luzon,01S_ENRO_G01,120.000 MW Bunker-C Fired Thermal Power Plant (BCFDPP),Oil-Based,Scheduled,110.0,56.0,14.2
Pagbilao Energy Corporation,Luzon,03PAGBIL_G03,Pagbilao 3 Power Plant ,Coal,Scheduled,420.0,131.0,3.5
"Panasia Energy, Inc.",Luzon,01LIMAY_U01,Bataan Combined Cycle Power Plant Unit 1,Oil-Based,Scheduled,60,0,2.7
"Panasia Energy, Inc.",Luzon,01LIMAY_U02,Bataan Combined Cycle Power Plant Unit 2,Oil-Based,Scheduled,60,0,2.7
"Panasia Energy, Inc.",Luzon,01LIMAY_U03,Bataan Combined Cycle Power Plant Unit 3,Oil-Based,Scheduled,60,0,2.7
"Panasia Energy, Inc.",Luzon,01LIMAY_U04,Bataan Combined Cycle Power Plant Unit 4,Oil-Based,Scheduled,87,0,5.2
"Panasia Energy, Inc.",Luzon,01LIMAY_U05,Bataan Combined Cycle Power Plant Unit 5,Oil-Based,Scheduled,60,0,2.7
"Panasia Energy, Inc.",Luzon,01LIMAY_U06,Bataan Combined Cycle Power Plant Unit 6,Oil-Based,Scheduled,60,0,2.7
"Panasia Energy, Inc.",Luzon,01LIMAY_U07,Bataan Combined Cycle Power Plant Unit 7,Oil-Based,Scheduled,60,0,2.7
"Panasia Energy, Inc.",Luzon,01LIMAY_U08,Bataan Combined Cycle Power Plant Unit 8,Oil-Based,Scheduled,90,0,1.1
"Pangea Green Energy Philippines, Inc.",Luzon,02PNGEA_G01,PGEP Payatas Biogas Plant,Biomass,Priority Dispatch,1.3,0.3,0.6
People's Energy Services Inc.,Luzon,03BART_G01,Barit Hydro Electric Power Plant,Run-of River Hydro,Must dispatch,1.8,0.5,1.8
Petron Corporation,Luzon,01PETRON_G01,Refinery Solid Fuel-Fired Boiler Power Plant,Coal,Scheduled,140.0,3.5,0.7
PetroSolar Corporation,Luzon,01PETSOL_G01,50.069 MWp Tarlac-1 Solar Power Plant (TSPP-1),Solar,Must dispatch,44.4,0.0,NA
PetroSolar Corporation,Luzon,01PETSOL_G02,20.349 MWp Tarlac Solar Power Plant  (TSPP-2),Solar,Must dispatch,16.5,0.0,NA
Philippine Power and Development Company,Luzon,03PALAK_G01,Palakpakin Hydroelectric Power Plant,Run-of River Hydro,Must dispatch,1.5,0.2,0.5
Philippine Power and Development Company,Luzon,03BALUG_G01,Balugbog Hydroelectric Power Plant,Run-of River Hydro,Must dispatch,1.1,0.2,0.5
Philippine Power and Development Company,Luzon,03CLBATO_G01,Calibato Hydroelectric Power Plant,Run-of River Hydro,Must dispatch,0.3,0.0,0.1
