Market Participant Name,Region,Market Trading Node,Facility Name,Type,Classification,"Max. Stable Load 
Isabel Ancillary Services Co. Ltd.,Visayas,04IASMOD_G04,Isabel Modular Diesel Power Plant Sector  4,Oil-Based,Scheduled,10.2,0.0,129.6
Isabel Ancillary Services Co. Ltd.,Visayas,04IASMOD_G05,Isabel Modular Diesel Power Plant Sector  5,Oil-Based,Scheduled,15.1,0.0,152.4.
Isabel Ancillary Services Co. Ltd.,Visayas,04IASMOD_G06,Isabel Modular Diesel Power Plant Sector  6,Oil-Based,Scheduled,10.2,0.0,111.6
KEPCO SPC Power Corporation  ,Visayas,05KSPC_G01,Cebu Coal-Fired Thermal Power Plant (Cebu CFTPP) Unit 1,Coal,Scheduled,103.0,38.3,1.1
KEPCO SPC Power Corporation  ,Visayas,05KSPC_G02,Cebu Coal-Fired Thermal Power Plant (Cebu CFTPP) Unit 2,Coal,Scheduled,103.0,38.2,1.2
Monte Solar Energy Inc.,Visayas,06MNTSOL_G01,17.998 MWp Bais Solar Power Plant,Solar,Must dispatch,14.5,0.0,NA
MORE Power Barge Inc.,Visayas,08STBPB1_U01,Power Barge 101- Unit 1,Oil-Based,Scheduled,6.0,5.0,0.7
MORE Power Barge Inc.,Visayas,08STBPB1_U02,Power Barge 101- Unit 2,Oil-Based,Scheduled,6.0,5.2,2.3
MORE Power Barge Inc.,Visayas,08STBPB1_U03,Power Barge 101- Unit 3,Oil-Based,Scheduled,6.0,5.2,0.3
MORE Power Barge Inc.,Visayas,08STBPB1_U04,Power Barge 101- Unit 4,Oil-Based,Scheduled,6.0,5.0,0.4
Negros Island Solar Power Inc.,Visayas,06CARSOL_G01, Islasol II Solar Power Plant       ,Solar,Must dispatch,27.2,0.0,27.2
Negros Island Solar Power Inc.,Visayas,06MANSOL_G01, Islasol III Solar Power Plant       ,Solar,Must dispatch,40.5,0.0,40.5
"North Negros Biopower, Inc.",Visayas,06NTNEGB_G01,26.256 MW NNBP Biomas Power Plant (BPP),Biomass,Scheduled,25.0,12.3,0.6
Oriental Energy & Power Generation Corp.,Visayas,08TIMBA_G01,18.868 MW Timbaban Hydro Power Plant ,Run-of River Hydro,Must dispatch,18.9,2.2,6.0
Palm Concepcion Power Corporation,Visayas,08PALM_G01,135.000 MW Circulating Fluidized Bed (CFB) Coal-Fired Power Plant (CFPP),Coal,Scheduled,135.0,50.0,1.3
Panay Energy Development Corporation,Visayas,08PEDC_U01,PEDC Coal-Fired Thermal Power Plant Unit 1,Coal,Scheduled,83.7,45.0,1.0
Panay Energy Development Corporation,Visayas,08PEDC_U02,PEDC Coal-Fired Thermal Power Plant Unit 2,Coal,Scheduled,83.7,45.0,1.0
Panay Energy Development Corporation,Visayas,08PEDC_U03,PEDC Unit 3 Circulating Fluidized Bed Power Plant,Coal,Scheduled,150.0,75.0,1.8
Panay Power Corporation,Visayas,08GLOBAL_G01,Nabas Diesel Power Plant,Oil-Based,Scheduled,6.4,0.0,3.0
PetroWind Energy Inc.,Visayas,08PWIND_G01,36.000 MW Nabas Phase I Wind Power Plant (NWPP-I),Wind,Must dispatch,36.7,0.0,12.6
First Solar Energy Corp.,Visayas,04PHSOL_G01,PSFLI Solar Power Plant,Solar,Must dispatch,24.5,0.0,24.5
"San Carlos Bioenergy, Inc.",Visayas,06SCBE_G01,Bagasse-Fired Cogeneration Power Plant,Biomass,Non-scheduled,7.4,1.0,0.5
San Carlos Biopower Inc.,Visayas,06SCBIOP_G01,19.990 MW SCBP Biomass Power Plant (BPP),Biomass,Scheduled,19.5,12.2,1.2
"San Carlos Solar Energy, Inc.",Visayas,06SACASL_G01,Phase 1A & 1B Solar Power Plant,Solar,Must dispatch,19.8,0.1,0.7
"San Carlos Solar Energy, Inc.",Visayas,06SACASL_G02,Phase 1C & D Solar Power Plant,Solar,Must dispatch,19.8,0.0,19.8
"San Carlos Sun Power, Inc. ",Visayas,06SACSUN_G01,58.981 MWp SACASUN Solar Power Plant ,Solar,Must dispatch,46.8,0.0,NA
"Citicore Solar Negros Occidental, Inc. ",Visayas,06SLYSOL_G01,Silay Solar Power Plant       ,Solar,Must dispatch,20.0,0.2,1.0
SMCGP Philippines Energy Storage Co. Ltd.,Visayas,06KABAN_BAT,22.469 MW Kabankalan Battery Energy Storage System  ,Battery,Battery Energy Storage System,20.0,0.0,24217.6
"South Negros Biopower, Inc.",Visayas,06STNEGB_G01,26.256 MW SNBP Biomass Power Plant (BPP),Biomass,Scheduled,25.0,12.0,0.6
SPC Island Power Corporation,Visayas,07BDPP_U01,Bohol Diesel Power Plant Unit 1,Oil-Based,Scheduled,4.0,3.1,0.4
SPC Island Power Corporation,Visayas,07BDPP_U02,Bohol Diesel Power Plant Unit 2,Oil-Based,Scheduled,4.0,3.1,0.4
SPC Island Power Corporation,Visayas,07BDPP_U03,Bohol Diesel Power Plant Unit 3,Oil-Based,Scheduled,4.2,3.1,0.4
SPC Island Power Corporation,Visayas,07BDPP_U04,Bohol Diesel Power Plant Unit 4,Oil-Based,Scheduled,4.0,3.1,0.4
SPC Island Power Corporation,Visayas,08PDPP1_U02,Panay Diesel Power Plant  1 (Unit 2),Oil-Based,Scheduled,5.0,3.0,0.8
SPC Island Power Corporation,Visayas,08PDPP1_U03,Panay Diesel Power Plant  1 (Unit 3),Oil-Based,Scheduled,5.0,3.0,0.9
SPC Island Power Corporation,Visayas,08PDPP1_U05,Panay Diesel Power Plant  1 (Unit 5),Oil-Based,Scheduled,5.0,3.0,1.2
SPC Island Power Corporation,Visayas,08PDPP3_C,Panay Diesel Power Plant  3 (Unit Charlie),Oil-Based,Scheduled,12.0,5.3,1.3
SPC Island Power Corporation,Visayas,08PDPP3_E,Panay Diesel Power Plant  3 (Unit Echo),Oil-Based,Scheduled,12.0,5.2,1.3
SPC Island Power Corporation,Visayas,08PDPP3_G,Panay Diesel Power Plant  3 (Unit Golf),Oil-Based,Scheduled,13.0,5.3,1.5
SPC Island Power Corporation,Visayas,08PDPP3_H,Panay Diesel Power Plant  3 (Unit Hotel),Oil-Based,Scheduled,13.0,5.2,1.5
SPC Power Corporation,Visayas,07TPLPB4_U01,Power Barge 104 Unit 1,Oil-Based,Scheduled,7.0,0.0,0.5
SPC Power Corporation,Visayas,07TPLPB4_U02,Power Barge 104 Unit 2,Oil-Based,Scheduled,7.0,0.0,0.5
SPC Power Corporation,Visayas,07TPLPB4_U03,Power Barge 104 Unit 3,Oil-Based,Scheduled,7.0,0.0,0.5
SPC Power Corporation,Visayas,07TPLPB4_U04,Power Barge 104 Unit 4,Oil-Based,Scheduled,8.0,2.0,0.7
Sta Clara Power Corporation ,Visayas,07LOBOC_G01,Loboc Hydro Electric Power Plant,Hydro,Non-scheduled ,1.2,0.0,1.2
Sta Clara Power Corporation ,Visayas,07LOBOC_G02,Loboc 2 Hydro Electric Power Plant,Hydro,Non-scheduled ,1.2,0.2,NA
"Sulu Electric Power and Light (Phils.), Inc.",Visayas,04SEPSOL_G01,49.754 MWp Sepalco Castilla Solar Power Plant,Solar,Must dispatch,40.5,0.0,NA
"Sunwest Water and Electric Company 2, Inc.",Visayas,08SUWECO_G01,8.080 MW Villasiga Hydroelectric Power Plant,Run-of River Hydro,Must dispatch,8.1,0.4,5.4
Taft Hydroenergy Corporation,Visayas,04TAFT_G01,15.930 MW Tubig Hydroelectric Power Plant,Run-of River Hydro,Must dispatch,15.2,1.7,16.5
"Therma Power-Visayas, Inc.",Visayas,05TPVI_U01,Naga Oil-Fired Power Plant  Unit 1,Oil-Based,Scheduled,5.5,4.2,0.7
"Therma Power-Visayas, Inc.",Visayas,05TPVI_U02,Naga Oil-Fired Power Plant  Unit 2,Oil-Based,Scheduled,5.5,4.2,0.7
"Therma Power-Visayas, Inc.",Visayas,05TPVI_U03,Naga Oil-Fired Power Plant  Unit 3,Oil-Based,Scheduled,5.5,4.2,0.7
"Therma Power-Visayas, Inc.",Visayas,05TPVI_U04,Naga Oil-Fired Power Plant  Unit 4,Oil-Based,Scheduled,5.5,4.2,0.7
"Therma Power-Visayas, Inc.",Visayas,05TPVI_U05,Naga Oil-Fired Power Plant  Unit 5,Oil-Based,Scheduled,5.5,4.2,0.7
"Therma Power-Visayas, Inc.",Visayas,05TPVI_U06,Naga Oil-Fired Power Plant  Unit 6,Oil-Based,Scheduled,5.5,4.2,0.7
"Therma Visayas, Inc.",Visayas,05THVI_U01,Circulating Fluidized Bed Coal-Fired Power Plant Unit 1,Coal,Scheduled,169.0,67.6,3.5
"Therma Visayas, Inc.",Visayas,05THVI_U02,Circulating Fluidized Bed Coal-Fired Power Plant Unit 2,Coal,Scheduled,169.0,67.6,3.5
Toledo Power Company,Visayas,05TPC_G01,TPC Carmen Diesel Power Plant,Oil-Based,Scheduled,40.0,0.0,5.0
Toledo Power Company,Visayas,05TPC_G02,Sangi Coal Fired Power Plant,Coal,Scheduled,82.0,45.0,1.0
Guimaras Wind Corporation,Visayas,08SLWIND_G01,54.0 MW San Lorenzo Wind Farm Project,Wind,Must dispatch,54.0,0.0,NA
"Universal Power Solutions, Inc.",Visayas,05TOLEDO_BAT,23.740 MW Toledo Battery Energy Storage System,Battery,Battery Energy Storage System,20.0,0.0,2642.4
"Universal Power Solutions, Inc.",Visayas,07UBAY_BAT,(+/-) 20 MW Ubay Battery Energy Storage System (BESS),Battery,Battery Energy Storage System,20.0,0.0,20000.0
"Universal Power Solutions, Inc.",Visayas,04ORMOC_BAT,Ormoc Battery Energy Storage System,Battery,Battery Energy Storage System,40.0,0.0,2642.4
Universal Robina Corporation,Visayas,06URC_G01, 46.0MW Kabankalan Bagasse-Fired Biomass Power Plant,Biomass,Priority Dispatch,20.0,3.5,2.3
"Victorias Milling Company,Inc.",Visayas,06VMC_G01,23.000 MW Biomass Co-Generation Power Plant,Biomass,Priority Dispatch,2.5,0.0,1.0
"Victorias Milling Company,Inc.",Visayas,06VMC_G02,40 MW Biomass Co-Generation Power Plant,Biomass,Priority Dispatch,21.5,0.0,3.2
Peakpower Bukidnon Inc.,Mindanao,11PKBUK_G01,10.42 MW Bunker C. Fired Diesel Power Plant,OIL-BASED,Scheduled,10.4,5,2.64
Peakpower Soccsargen Inc.,Mindanao,14PKPSOC_G01,34.85 MW PSI Bunker C-Fired Power Plant,OIL-BASED,Scheduled,34.9,6.5,6.60
Power Sector Assets & Liabilities Management Corporation,Mindanao,10AGUS1_U01,Agus I Hydroelectric Power Plant Unit 1,HYDRO,Scheduled,35,10.6,9.00
Power Sector Assets & Liabilities Management Corporation,Mindanao,10AGUS1_U02,Agus I Hydroelectric Power Plant Unit 2,HYDRO,Scheduled,35,10.5,5.60
Power Sector Assets & Liabilities Management Corporation,Mindanao,10AGUS2_U01,Agus II Hydroelectric Power Plant Unit 1,HYDRO,Scheduled,60,10,11.50
Power Sector Assets & Liabilities Management Corporation,Mindanao,10AGUS2_U02,180 MW Agus II Hydroelectric Power Plant Unit 2,HYDRO,Scheduled,60,10,21.70
Power Sector Assets & Liabilities Management Corporation,Mindanao,10AGUS2_U03,180 MW Agus II Hydroelectric Power Plant Unit 3,HYDRO,Scheduled,60,10,6.40
Power Sector Assets & Liabilities Management Corporation,Mindanao,10AGUS4_U01,Agus IV Hydroelectric Power Plant Unit 1,HYDRO,Scheduled,52.7,20,19.00
Power Sector Assets & Liabilities Management Corporation,Mindanao,10AGUS4_U02,Agus IV Hydroelectric Power Plant Unit 2,HYDRO,Scheduled,52.7,20,16.70
Power Sector Assets & Liabilities Management Corporation,Mindanao,10AGUS4_U03,Agus IV Hydroelectric Power Plant Unit 3,HYDRO,Scheduled,52.7,21.1,8.50
Power Sector Assets & Liabilities Management Corporation,Mindanao,10AGUS5_U01,Agus V Hydroelectric Power Plant Unit 1,HYDRO,Scheduled,27.5,10,10.10
Power Sector Assets & Liabilities Management Corporation,Mindanao,10AGUS5_U02,Agus V Hydroelectric Power Plant Unit 2,HYDRO,Scheduled,27.5,10,14.80
Power Sector Assets & Liabilities Management Corporation,Mindanao,10AGUS6_U01,Agus VI Hydroelectric Power Plant (HEPP) Unit 1,HYDRO,Scheduled,31.5,10.1,14.20
Power Sector Assets & Liabilities Management Corporation,Mindanao,10AGUS6_U02,Agus VI Hydroelectric Power Plant Unit 2,HYDRO,Scheduled,31.1,10.1,14.10
Power Sector Assets & Liabilities Management Corporation,Mindanao,10AGUS6_U03,Agus VI Hydroelectric Power Plant Unit 3,HYDRO,Scheduled,50,10,34.00
Power Sector Assets & Liabilities Management Corporation,Mindanao,10AGUS6_U04,Agus VI Hydroelectric Power Plant Unit 4,HYDRO,Scheduled,25,10,17.70
Power Sector Assets & Liabilities Management Corporation,Mindanao,10AGUS6_U05,Agus VI Hydroelectric Power Plant Unit 5,HYDRO,Scheduled,43.8,10.1,9.70
Power Sector Assets & Liabilities Management Corporation,Mindanao,10AGUS7_U01,Agus VII Hydroelectric Power Plant Unit 1,HYDRO,Scheduled,26.1,10.4,4.80
Power Sector Assets & Liabilities Management Corporation,Mindanao,10AGUS7_U02,Agus VII Hydroelectric Power Plant Unit 2,HYDRO,Scheduled,25.3,12.4,10.50
Power Sector Assets & Liabilities Management Corporation,Mindanao,11PULA4_U01,255 MW Pulangi IV Hydroelectric Power Plant Unit 1,HYDRO,Scheduled,75,10,30.00
Power Sector Assets & Liabilities Management Corporation,Mindanao,11PULA4_U02,255 MW Pulangi IV Hydroelectric Power Plant Unit 2,HYDRO,Scheduled,75,10,28.30
Power Sector Assets & Liabilities Management Corporation,Mindanao,11PULA4_U03,255 MW Pulangi IV Hydroelectric Power Plant Unit 3,HYDRO,Scheduled,75,10,42.00
Power Sector Assets & Liabilities Management Corporation,Mindanao,14MTAPO_U02,54.24 MW Mindanao II Geothermal Power Plant,GEOTHERMAL,Scheduled,50,25,3.00
Power Sector Assets & Liabilities Management Corporation,Mindanao,11STEAG_U01,232 MW Mindanao Coal Fired Thermal Power Plant 1,COAL,Scheduled,116,61,2.10
Power Sector Assets & Liabilities Management Corporation,Mindanao,11STEAG_U02,232 MW Mindanao Coal Fired Thermal Power Plant 2,COAL,Scheduled,116,63,2.00
PowerSource Philippines Energy Incorporated,Mindanao,10PPEI_U01,25 MW CFB Coal-Fired Thermal Power Plant,COAL,Scheduled,20,8,0.40
Malita Power Inc.,Mindanao,13SMC_U01,Malita Circulating Fluidized Bed Coal Fired Thermal Power Plant (CFB CFTPP) Unit 1,COAL,Scheduled,149.9,60,2.70
Malita Power Inc.,Mindanao,13SMC_U02,Malita Circulating Fluidized Bed Coal Fired Thermal Power Plant (CFB CFTPP) Unit 2,COAL,Scheduled,150,60,1.90
Sarangani Energy Corporation,Mindanao,14SARANG_U01,Phase1 118.501 MW Coal - Fired Power Plant ,COAL,Scheduled,118.5,47.5,1.60
Sarangani Energy Corporation,Mindanao,14SARANG_U02,118.50 MW Phase 2 Coal-Fired Power Plant,COAL,Scheduled,118.5,47.4,2.90
Strategic Energy Development Inc.,Mindanao,13MAGDBNK_G01,15 MW Bunker C-Fired Diesel Power Plant,OIL-BASED,Scheduled,13,1.33,0.50
Supreme Power Corporation,Mindanao,14SUPKOR_G01,11.90 MW Koronadal Bunker C-Fired Diesel Power Plant,OIL-BASED,Scheduled,11.9,0.1,4.20
Supreme Power Corporation,Mindanao,13MATIBNK_G01,11.040 Mati Bunker C-Fired Diesel Power Plant,OIL-BASED,Scheduled,11,1.1,5.00
"Therma Marine, Inc.",Mindanao,13TM1_U01,100.337 MW Mobile 1 Bunker C-Fired Power Plant Unit 1,OIL-BASED,Scheduled,49,0,11.00
"Therma Marine, Inc.",Mindanao,13TM1_U02,100.337 MW Mobile 1 Bunker C-Fired Power Plant Unit 2 ,OIL-BASED,Scheduled,50,23.6,6.90
"Therma Marine, Inc.",Mindanao,12TM2_U01,100.327 MW Mobile 2  Bunker C-Fired Power Plant Unit 1,OIL-BASED,Scheduled,50,25,4.60
"Therma Marine, Inc.",Mindanao,12TM2_U02,100.327 MW Mobile 2  Bunker C-Fired Power Plant Unit 2 ,OIL-BASED,Scheduled,50,25,4.20
"Therma South, Inc.",Mindanao,13DCPP_U01,TSI Coal Fired-Power Plant Unit 1,COAL,Scheduled,151.4,65.6,3.50
"Therma South, Inc.",Mindanao,13DCPP_U02,TSI Coal Fired-Power Plant Unit 2,COAL,Scheduled,150,65,4.40
Western Mindanao Power Corporation,Mindanao,09WMPC_U01,112 MW Bunker-C Fired Diesel Power Plant Unit 1,OIL-BASED,Scheduled,10.2,8.6,0.63
Western Mindanao Power Corporation,Mindanao,09WMPC_U02,112 MW Bunker-C Fired Diesel Power Plant Unit 2,OIL-BASED,Scheduled,10.2,8.6,0.63
Western Mindanao Power Corporation,Mindanao,09WMPC_U03,112 MW Bunker-C Fired Diesel Power Plant Unit 3,OIL-BASED,Scheduled,10.2,8.6,0.70
Western Mindanao Power Corporation,Mindanao,09WMPC_U04,112 MW Bunker-C Fired Diesel Power Plant Unit 4,OIL-BASED,Scheduled,10.2,8.6,0.70
Western Mindanao Power Corporation,Mindanao,09WMPC_U05,112 MW Bunker-C Fired Diesel Power Plant Unit 5,OIL-BASED,Scheduled,10.2,8.6,0.70
Western Mindanao Power Corporation,Mindanao,09WMPC_U06,112 MW Bunker-C Fired Diesel Power Plant Unit 6,OIL-BASED,Scheduled,10.2,8.6,0.80
Western Mindanao Power Corporation,Mindanao,09WMPC_U07,112 MW Bunker-C Fired Diesel Power Plant Unit 7,OIL-BASED,Scheduled,10,8.6,0.70
Western Mindanao Power Corporation,Mindanao,09WMPC_U08,112 MW Bunker-C Fired Diesel Power Plant Unit 8,OIL-BASED,Scheduled,10.1,8.6,0.63
Western Mindanao Power Corporation,Mindanao,09WMPC_U09,112 MW Bunker-C Fired Diesel Power Plant Unit 9,OIL-BASED,Scheduled,10.2,8.7,0.63
Western Mindanao Power Corporation,Mindanao,09WMPC_U10,112 MW Bunker-C Fired Diesel Power Plant Unit 10,OIL-BASED,Scheduled,10.2,8.6,0.63
Astronergy Development Gensan Inc.,Mindanao,14ASTROSOL_G01,24.96 MWp Santos Solar Power Plant,SOLAR,Must Dispatch,20,0,NA
Surallah Power Generation Inc.,Mindanao,14SPGI_U01,SPGI 6.150 MW Biomass Power Plant,BIOMASS,Priority Dispatch,6,5.4,0.40
"Universal Power Solutions, Inc.",Mindanao,13MALITA_BAT, (+/-) 20MW Malita Battery Energy Storage System (BESS) ,BATTERY,Battery Energy Storage System,20,0,NA
"Universal Power Solutions, Inc.",Mindanao,13MACO_BAT,24.288 MW / 24.288 MWh Maco Battery Energy Storage System (BESS),BATTERY,Battery Energy Storage System,20,0,"9,642.79"
"Universal Power Solutions, Inc.",Mindanao,11JASA_BAT,Jasaan Battery Energy Storage System ,BATTERY,Battery Energy Storage System,20,0,"9,642.79"
"Universal Power Solutions, Inc.",Mindanao,11VILLA_BAT,±20 MW Villanueva Battery Energy Storage System,BATTERY,Battery Energy Storage System,20,0,NA
Libertad Power and Energy Corporation,Mindanao,09LIBPOWR_G01,6 MW Biomass Power Plant,BIOMASS,Priority Dispatch,6,2.4,1.00
